ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_20_0.7_1_Run4,5.36,0.67,0,0,200.0,1410.2926332295976,254,0,1767,538,538,12,0,8,0,0.0,0.0,163,0,0
Gen_Data_20_0.7_2_Run4,43.74,5.47,0,2,2180.0,1051.5281414529877,490,0,1633,358,358,12,0,8,2,0.0,0.0,133,0,0
Gen_Data_20_0.7_3_Run4,4.97,0.62,0,2,2180.0,1193.61685993959,36,0,1319,290,290,12,2,8,0,0.0,0.0,45,0,0
Gen_Data_20_0.7_4_Run4,43.29,5.41,0,2,2187.0175438596493,1229.2671904516628,249,8,1573,415,455,12,0,8,2,2.857,2.0,135,0,0
Gen_Data_20_0.7_5_Run4,24.79,3.1,0,1,1190.0,1238.7634825461625,324,0,1661,428,428,12,0,8,1,0.0,0.0,94,1,13
Gen_Data_20_0.7_6_Run4,3.98,0.5,0,1,1190.0,1354.6047544770372,211,0,1664,405,405,12,1,8,0,0.0,0.0,66,1,43
Gen_Data_20_0.7_7_Run4,43.77,5.47,0,2,2180.0,1018.784249818111,605,0,1718,208,208,12,0,8,2,0.0,0.0,239,1,54
Gen_Data_20_0.7_8_Run4,4.89,0.61,0,0,200.0,1276.91501688676,251,0,1631,369,369,12,0,8,0,0.0,0.0,123,5,181
Gen_Data_20_0.7_9_Run4,26.85,3.36,0,1,1203.125,1278.214194654624,389,0,1764,354,417,12,0,8,1,3.571,3.15,81,2,72
Gen_Data_20_0.7_10_Run4,4.72,0.59,0,0,211.7669172932331,1311.2340885094823,214,0,1989,362,381,12,0,8,0,2.857,0.95,148,1,24
