BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_0.7_1,6.0,0.30000000000000004,0.0,11.0,11090.0,675.2106986192596,805.0,0.0,1529.0,142.0,142.0,0.0,0.0,20.0,11.0,0.0
Gen_Data_20_0.7_2,5.753333333333334,0.29,0.0,11.0,11090.0,743.1229894167924,642.0,0.0,1433.0,198.0,198.0,0.0,0.0,20.0,11.0,0.0
Gen_Data_20_0.7_3,5.896666666666667,0.2966666666666667,0.0,9.0,9110.0,863.9185115804515,578.0,0.0,1504.0,261.0,261.0,0.0,0.0,20.0,9.0,0.0
Gen_Data_20_0.7_4,6.176666666666667,0.31,0.0,7.0,7130.0,719.1143439960009,877.0,0.0,1667.0,150.0,150.0,0.0,0.0,20.0,7.0,0.0
Gen_Data_20_0.7_5,6.036666666666666,0.30333333333333334,0.0,8.0,8120.0,897.1727446295636,557.0,0.0,1520.0,268.0,268.0,0.0,0.0,20.0,8.0,0.0
Gen_Data_20_0.7_6,5.760000000000001,0.2866666666666667,0.0,8.0,8120.0,886.1230056665585,654.0,0.0,1606.0,296.0,296.0,0.0,0.0,20.0,8.0,0.0
Gen_Data_20_0.7_7,5.5,0.27666666666666667,0.0,12.0,12080.0,633.6670086823833,712.0,0.0,1391.0,74.0,74.0,0.0,0.0,20.0,12.0,0.0
Gen_Data_20_0.7_8,5.91,0.29666666666666663,0.0,10.0,10100.0,772.4367386251412,707.0,0.0,1535.0,200.0,200.0,0.0,0.0,20.0,10.0,0.0
Gen_Data_20_0.7_9,6.026666666666666,0.3,0.0,9.0,9130.0,755.8448088474228,820.0,0.0,1638.0,160.0,196.0,0.0,0.0,20.0,9.0,5.0
Gen_Data_20_0.7_10,5.833333333333333,0.29333333333333333,0.0,11.0,11090.0,818.59001287415,487.0,0.0,1354.0,231.0,231.0,0.0,0.0,20.0,11.0,0.0
