ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run1,1078.33,3.59,13,64,66467.2937672159,15298.502067568541,2498,0,19082,5087,5431,0,0,300,64,4.8
Gen_Data_300_0.7_2_Run1,1012.33,3.37,12,70,72443.27413459742,15484.119927080825,2433,0,19160,4797,5259,0,0,300,70,5.542
Gen_Data_300_0.7_3_Run1,976.78,3.26,10,71,73438.91758038069,15733.885228555164,2476,0,19456,5054,5479,0,0,300,71,4.575
Gen_Data_300_0.7_4_Run1,961.74,3.21,10,69,71478.1232054643,15446.50253860723,2334,0,19051,4996,5530,0,0,300,69,6.447
Gen_Data_300_0.7_5_Run1,1019.5,3.4,12,71,73414.49243797275,15402.553916093302,2540,0,19194,4780,5098,0,0,300,71,4.941
Gen_Data_300_0.7_6_Run1,965.05,3.22,19,55,57657.770645068405,15634.849581781227,2171,0,19114,5344,6028,0,0,300,55,7.598
Gen_Data_300_0.7_7_Run1,920.84,3.07,8,80,82329.9068209291,15688.472876634787,2164,0,19046,5030,5432,0,0,300,80,5.291
Gen_Data_300_0.7_8_Run1,967.3,3.22,9,72,74335.311645469,15421.503868937381,2376,0,19033,4852,5059,0,0,300,72,3.01
Gen_Data_300_0.7_9_Run1,1004.92,3.35,12,68,70504.68513202778,15375.681009480004,2509,1,19142,4517,5036,0,0,300,68,6.783
Gen_Data_300_0.7_10_Run1,988.16,3.29,19,64,66486.34246082288,15591.60651076877,2595,0,19480,5181,5657,0,0,300,64,5.783
