ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_0.5_1_Run1,10.38,0.0,0,5,5198.028554175297,920.6732394811049,177,17,1176,508,524,0,5,20,0,15.556
Gen_Data_20_0.5_2_Run1,11.78,0.0,0,6,6154.0,689.6632015926,146,0,907,353,196,0,6,20,0,5.0
Gen_Data_20_0.5_3_Run1,9.18,0.0,0,4,4210.958735521239,1313.3944163553508,39,0,1435,372,482,0,4,20,0,9.714
Gen_Data_20_0.5_4_Run1,10.31,0.0,0,5,5150.0,803.8071016594538,196,0,1074,326,223,0,5,20,0,0.0
Gen_Data_20_0.5_5_Run1,10.57,0.0,0,5,5165.788923719958,1122.7342996826726,161,0,1363,469,410,0,5,20,0,4.0
Gen_Data_20_0.5_6_Run1,12.13,0.0,0,5,5149.999999999998,980.6199749676836,318,0,1376,479,292,0,5,20,0,0.0
Gen_Data_20_0.5_7_Run1,10.03,0.0,0,4,4160.0,777.8599530163608,78,0,938,271,156,0,4,20,0,0.0
Gen_Data_20_0.5_8_Run1,11.56,0.0,0,7,7140.144927536232,948.3896718079571,153,38,1169,513,389,0,7,20,0,5.0
Gen_Data_20_0.5_9_Run1,10.47,0.0,0,2,2202.8571428571486,1077.053747852751,266,0,1437,371,381,0,2,20,0,6.667
Gen_Data_20_0.5_10_Run1,10.19,0.0,0,5,5172.742690058492,916.6955747761936,14,0,1007,362,363,0,5,20,0,11.667
